0.34, 0.88, 1
0.64, 0.98, 1
0.43, 0.27, 2
0.67, 0.98, 1
0.29, 0.51, 2
0.68, 0.15, 2
0.26, 0.48, 2
0.60, 0.26, 2
0.73, 0.42, 1
0.72, 0.67, 1
0.04, 0.94, 2
0.36, 0.55, 2
0.36, 0.60, 2
0.34, 0.64, 2
0.72, 0.55, 1
0.89, 0.81, 1
0.63, 0.09, 2
0.58, 0.59, 1
0.73, 0.58, 1
0.41, 0.07, 2
0.86, 0.93, 1
0.89, 0.61, 1
0.61, 0.16, 2
0.27, 0.32, 2
0.71, 0.29, 1
0.56, 0.12, 2
0.33, 0.29, 2
0.83, 0.67, 1
0.49, 0.91, 1
0.67, 0.51, 1
0.97, 0.01, 1
0.96, 0.48, 1
0.70, 0.28, 1
0.52, 0.86, 1
0.36, 0.74, 1
0.22, 0.96, 1
0.58, 0.26, 2
0.44, 0.17, 2
0.02, 0.99, 2
0.47, 0.12, 2
0.87, 0.71, 1
0.44, 0.75, 1
0.46, 0.54, 1
0.60, 0.92, 1
0.04, 0.64, 2
0.49, 0.05, 2
0.11, 0.75, 2
0.14, 0.91, 2
0.79, 0.87, 1
0.45, 0.90, 1
0.75, 0.80, 1
0.59, 0.00, 2
0.26, 0.13, 2
0.94, 0.88, 1
0.63, 0.88, 1
0.69, 0.87, 1
0.20, 0.40, 2
0.90, 0.89, 1
0.15, 0.43, 2
0.10, 0.17, 2
0.76, 0.23, 1
0.89, 0.14, 1
0.18, 0.02, 2
0.60, 0.39, 1
0.21, 0.92, 1
0.01, 0.40, 2
0.14, 0.04, 2
0.93, 0.56, 1
0.88, 0.13, 1
0.37, 0.94, 1
0.15, 0.05, 2
0.09, 0.04, 2
0.07, 0.07, 2
0.91, 0.12, 1
0.07, 0.75, 2
0.69, 0.17, 1
0.28, 0.55, 2
0.92, 0.43, 1
0.42, 0.09, 2
0.10, 0.48, 2
0.93, 0.92, 1
0.81, 0.28, 1
0.15, 0.02, 2
0.15, 0.63, 2
0.59, 0.58, 1
0.68, 0.63, 1
0.67, 0.85, 1
0.56, 0.90, 1
0.80, 0.07, 1
0.34, 0.48, 2
0.17, 0.98, 1
0.26, 0.35, 2
0.72, 0.42, 1
0.49, 0.98, 1
1.00, 0.09, 1
0.31, 0.04, 2
0.56, 0.72, 1
0.64, 0.79, 1
0.84, 0.93, 1
0.49, 0.38, 2
0.03, 0.14, 2
0.83, 0.26, 1
0.98, 0.80, 1
0.06, 0.41, 2
0.92, 0.37, 1
0.63, 0.26, 1
0.64, 0.22, 2
0.09, 0.68, 2
0.73, 0.15, 1
0.94, 0.10, 1
0.83, 0.14, 1
0.66, 0.80, 1
0.47, 0.59, 1
0.66, 0.75, 1
0.48, 0.88, 1
0.53, 0.34, 2
0.21, 0.88, 1
0.50, 0.43, 1
0.76, 0.52, 1
0.87, 0.88, 1
0.33, 0.73, 1
0.02, 0.96, 2
0.49, 0.64, 1
0.64, 0.20, 2
0.68, 0.37, 1
0.16, 0.12, 2
0.69, 0.74, 1
0.04, 0.71, 2
0.64, 0.36, 1
0.38, 0.94, 1
0.42, 0.80, 1
0.93, 0.56, 1
0.99, 0.87, 1
0.04, 0.15, 2
0.87, 0.49, 1
0.19, 0.29, 2
0.73, 0.54, 1
0.28, 0.46, 2
0.53, 0.35, 2
0.69, 0.35, 1
0.15, 0.86, 2
0.07, 0.03, 2
0.41, 0.78, 1
0.03, 0.70, 2
0.71, 0.86, 1
0.56, 0.86, 1
0.67, 0.96, 1
0.45, 0.12, 2
0.13, 0.24, 2
0.36, 0.35, 2
0.19, 0.94, 1
0.32, 0.69, 1
0.81, 0.27, 1
0.98, 0.73, 1
0.10, 0.53, 2
0.49, 0.17, 2
0.45, 0.72, 1
0.29, 0.24, 2
0.68, 0.62, 1
0.85, 0.33, 1
0.71, 0.94, 1
0.79, 0.04, 1
0.82, 0.43, 1
0.25, 0.37, 2
0.06, 0.70, 2
0.39, 0.59, 1
0.75, 0.93, 1
0.39, 0.62, 1
0.67, 0.26, 1
0.72, 0.21, 1
0.16, 0.03, 2
0.15, 0.40, 2
0.99, 0.41, 1
0.61, 0.42, 1
0.57, 0.61, 1
0.89, 0.65, 1
0.14, 0.18, 2
0.79, 0.42, 1
0.63, 0.16, 2
0.73, 0.81, 1
0.31, 0.47, 2
0.39, 0.16, 2
0.53, 0.67, 1
0.49, 0.18, 2
0.32, 0.63, 2
0.58, 0.51, 1
0.68, 0.18, 1
0.84, 0.06, 1
0.76, 0.48, 1
0.09, 0.84, 2
0.19, 0.14, 2
0.06, 0.33, 2
0.29, 0.42, 2
0.67, 0.92, 1
0.31, 1.00, 1
0.85, 0.88, 1
0.80, 0.32, 1
0.16, 0.35, 2
0.28, 0.43, 2
0.85, 0.72, 1
0.96, 0.69, 1
0.98, 0.08, 1
0.87, 0.63, 1
0.90, 0.15, 1
0.85, 0.37, 1
0.29, 0.23, 2
0.63, 0.23, 2
0.80, 0.41, 1
0.05, 0.10, 2
0.89, 0.29, 1
0.74, 0.63, 1
0.09, 0.55, 2
0.43, 0.31, 2
0.35, 0.25, 2
0.45, 0.46, 2
0.46, 0.37, 2
0.51, 0.56, 1
0.57, 0.31, 2
0.79, 0.47, 1
0.74, 0.42, 1
0.79, 0.87, 1
0.24, 0.94, 1
0.02, 0.65, 2
0.13, 0.43, 2
0.56, 0.61, 1
0.68, 0.13, 2
